,0
1.0,1.0
1.0,2.0
1.0,3.0
5.0,8.0
1.0,9.0
4.0,13.0
8.0,21.0
4.0,25.0
20.0,45.0
24.0,69.0
15.0,84.0
34.0,118.0
1.0,119.0
