,0
1.0,1.0
1.0,2.0
2.0,4.0
6.0,10.0
6.0,16.0
1.0,17.0
3.0,20.0
3.0,23.0
7.0,30.0
14.0,44.0
11.0,55.0
4.0,59.0
6.0,65.0
16.0,81.0
1.0,82.0
25.0,107.0
70.0,177.0
19.0,196.0
1.0,197.0
