,0
1.0,1.0
1.0,2.0
2.0,4.0
2.0,6.0
1.0,7.0
2.0,9.0
2.0,11.0
3.0,14.0
2.0,16.0
2.0,18.0
3.0,21.0
2.0,23.0
2.0,25.0
1.0,26.0
