,0
1.0,1.0
2.0,3.0
1.0,4.0
4.0,8.0
1.0,9.0
2.0,11.0
3.0,14.0
2.0,16.0
6.0,22.0
12.0,34.0
11.0,45.0
6.0,51.0
1.0,52.0
14.0,66.0
