,0
1.0,1.0
3.0,4.0
1.0,5.0
3.0,8.0
5.0,13.0
1.0,14.0
5.0,19.0
5.0,24.0
5.0,29.0
3.0,32.0
4.0,36.0
2.0,38.0
3.0,41.0
