Date_Confirmed,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,CIUDAD DE MÉXICO,COAHUILA DE ZARAGOZA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MICHOACÁN DE OCAMPO,MORELOS,MÉXICO,NAYARIT,NUEVO LEÓN,OAXACA,PUEBLA,QUERÉTARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ DE IGNACIO DE LA LLAVE,YUCATÁN,ZACATECAS
2020-04-24,,25.0,9.0,7.0,10.0,14.0,198.0,16.0,2.0,1.0,4.0,15.0,14.0,19.0,19.0,25.0,37.0,3.0,5.0,6.0,25.0,7.0,10.0,3.0,29.0,11.0,50.0,18.0,12.0,23.0,28.0,5.0
2020-04-25,1.0,33.0,11.0,10.0,15.0,,272.0,17.0,3.0,4.0,,21.0,30.0,21.0,39.0,34.0,48.0,4.0,8.0,10.0,44.0,,20.0,8.0,,,72.0,38.0,23.0,37.0,41.0,7.0
