"","region","date","import_status","cases"
"127","Hidalto",2020-04-24,"local",1
"128","Hidalto",2020-04-27,"local",1
"129","Hidalto",2020-04-28,"local",5
"130","Hidalto",2020-04-30,"local",1
"131","Hidalto",2020-05-02,"local",1
"132","Hidalto",2020-05-03,"local",1
"133","Hidalto",2020-05-05,"local",1
"134","Hidalto",2020-05-06,"local",3
"135","Hidalto",2020-05-07,"local",1
"136","Hidalto",2020-05-08,"local",1
"137","Hidalto",2020-05-09,"local",1
"138","Jalisco",2020-04-12,"local",11
"139","Jalisco",2020-04-17,"local",1
"140","Jalisco",2020-04-23,"local",1
"141","Jalisco",2020-04-25,"local",1
"142","Jalisco",2020-04-30,"local",1
"143","Jalisco",2020-05-01,"local",1
"144","Jalisco",2020-05-02,"local",2
"145","Jalisco",2020-05-03,"local",1
"146","Jalisco",2020-05-05,"local",1
"147","Jalisco",2020-05-07,"local",1
"148","Jalisco",2020-05-08,"local",1
"149","Jalisco",2020-05-09,"local",1
"150","Mexico",2020-04-12,"local",22
"151","Mexico",2020-04-14,"local",3
"152","Mexico",2020-04-15,"local",3
"153","Mexico",2020-04-18,"local",1
"154","Mexico",2020-04-19,"local",2
"155","Mexico",2020-04-21,"local",2
"156","Mexico",2020-04-22,"local",10
"157","Mexico",2020-04-23,"local",8
"158","Mexico",2020-04-24,"local",5
"159","Mexico",2020-04-25,"local",11
"160","Mexico",2020-04-26,"local",2
"161","Mexico",2020-04-27,"local",1
"162","Mexico",2020-04-28,"local",2
"163","Mexico",2020-04-29,"local",7
"164","Mexico",2020-04-30,"local",12
"165","Mexico",2020-05-01,"local",9
"166","Mexico",2020-05-02,"local",7
"167","Mexico",2020-05-03,"local",5
"168","Mexico",2020-05-04,"local",13
"169","Mexico",2020-05-05,"local",9
"170","Mexico",2020-05-06,"local",4
"171","Mexico",2020-05-07,"local",13
"172","Mexico",2020-05-08,"local",11
"173","Mexico",2020-05-09,"local",6
"174","Michoacan",2020-04-12,"local",9
"175","Michoacan",2020-04-16,"local",1
"176","Michoacan",2020-04-18,"local",1
"177","Michoacan",2020-04-23,"local",2
"178","Michoacan",2020-04-25,"local",1
"179","Michoacan",2020-04-27,"local",1
"180","Michoacan",2020-04-28,"local",1
"181","Michoacan",2020-05-02,"local",1
"182","Michoacan",2020-05-06,"local",2
"183","Michoacan",2020-05-09,"local",1
"184","Morelos",2020-04-12,"local",7
"185","Morelos",2020-04-14,"local",1
"186","Morelos",2020-04-21,"local",1
"187","Morelos",2020-04-22,"local",1
"188","Morelos",2020-04-23,"local",1
"189","Morelos",2020-04-24,"local",2
"190","Morelos",2020-04-29,"local",1
"191","Morelos",2020-05-01,"local",3
"192","Morelos",2020-05-05,"local",4
"193","Nayarit",2020-04-12,"local",4
"194","Nayarit",2020-04-28,"local",1
"195","Nayarit",2020-05-05,"local",2
"196","Nayarit",2020-05-06,"local",1
"197","Nayarit",2020-05-08,"local",1
"198","Nuevo Leon",2020-04-12,"local",5
"199","Nuevo Leon",2020-04-23,"local",1
"200","Nuevo Leon",2020-04-28,"local",1
"201","Nuevo Leon",2020-05-02,"local",1
"202","Oaxaca",2020-04-12,"local",3
"203","Oaxaca",2020-04-13,"local",1
"204","Oaxaca",2020-04-14,"local",1
"205","Oaxaca",2020-04-22,"local",1
"206","Oaxaca",2020-04-25,"local",2
"207","Oaxaca",2020-04-26,"local",1
"208","Oaxaca",2020-04-28,"local",1
"209","Oaxaca",2020-04-29,"local",1
"210","Oaxaca",2020-05-02,"local",2
"211","Oaxaca",2020-05-05,"local",1
"212","Oaxaca",2020-05-06,"local",4
"213","Oaxaca",2020-05-07,"local",1
"214","Oaxaca",2020-05-08,"local",1
"215","Oaxaca",2020-05-09,"local",2
"216","Puebla",2020-04-12,"local",20
"217","Puebla",2020-04-13,"local",1
"218","Puebla",2020-04-17,"local",1
"219","Puebla",2020-04-18,"local",3
"220","Puebla",2020-04-20,"local",1
"221","Puebla",2020-04-22,"local",1
"222","Puebla",2020-04-23,"local",2
"223","Puebla",2020-04-28,"local",1
"224","Puebla",2020-04-29,"local",1
"225","Puebla",2020-05-01,"local",1
"226","Puebla",2020-05-02,"local",1
"227","Puebla",2020-05-04,"local",1
"228","Puebla",2020-05-05,"local",1
"229","Puebla",2020-05-06,"local",1
"230","Puebla",2020-05-07,"local",1
"231","Puebla",2020-05-08,"local",3
"232","Puebla",2020-05-09,"local",1
"233","Queretaro",2020-04-12,"local",3
"234","Queretaro",2020-04-14,"local",1
"235","Queretaro",2020-05-07,"local",1
"236","Quintana Roo",2020-04-12,"local",19
"237","Quintana Roo",2020-04-14,"local",1
"238","Quintana Roo",2020-04-15,"local",1
"239","Quintana Roo",2020-04-16,"local",1
"240","Quintana Roo",2020-04-21,"local",5
"241","Quintana Roo",2020-04-22,"local",1
"242","Quintana Roo",2020-04-23,"local",3
"243","Quintana Roo",2020-04-24,"local",8
"244","Quintana Roo",2020-04-25,"local",1
"245","Quintana Roo",2020-04-26,"local",1
"246","Quintana Roo",2020-04-27,"local",2
"247","Quintana Roo",2020-04-28,"local",3
"248","Quintana Roo",2020-04-30,"local",3
"249","Quintana Roo",2020-05-01,"local",2
"250","Quintana Roo",2020-05-06,"local",1
"251","Quintana Roo",2020-05-07,"local",1
"252","Quintana Roo",2020-05-09,"local",1
"253","San Luis Potosi",2020-04-12,"local",4
"254","San Luis Potosi",2020-04-23,"local",1
"255","San Luis Potosi",2020-04-28,"local",1
"256","San Luis Potosi",2020-05-01,"local",2
"257","Sinaloa",2020-04-12,"local",24
"258","Sinaloa",2020-04-13,"local",2
"259","Sinaloa",2020-04-15,"local",1
"260","Sinaloa",2020-04-16,"local",1
"261","Sinaloa",2020-04-18,"local",1
"262","Sinaloa",2020-04-21,"local",2
