"region","date","import_status","cases"
"Ciudad de Mexico","2020-05-31","local",20
"Ciudad de Mexico","2020-06-01","local",8
"Ciudad de Mexico","2020-06-02","local",22
"Ciudad de Mexico","2020-06-03","local",41
"Coahuila","2020-04-13","local",1
"Coahuila","2020-04-16","local",1
"Coahuila","2020-04-18","local",3
"Coahuila","2020-04-21","local",3
"Coahuila","2020-04-22","local",3
"Coahuila","2020-04-24","local",2
"Coahuila","2020-04-28","local",1
"Coahuila","2020-04-30","local",1
"Coahuila","2020-05-03","local",1
"Coahuila","2020-05-05","local",1
"Coahuila","2020-05-08","local",1
"Coahuila","2020-05-19","local",1
"Coahuila","2020-05-22","local",2
"Coahuila","2020-05-24","local",1
"Coahuila","2020-05-27","local",2
"Coahuila","2020-05-29","local",2
"Coahuila","2020-05-30","local",2
"Coahuila","2020-06-03","local",5
"Colima","2020-04-17","local",2
"Colima","2020-05-18","local",1
"Colima","2020-05-21","local",1
"Colima","2020-05-27","local",1
"Colima","2020-06-03","local",1
"Durango","2020-04-25","local",1
"Durango","2020-04-30","local",1
"Durango","2020-05-18","local",1
"Durango","2020-05-20","local",1
"Durango","2020-06-03","local",1
"Guanajuato","2020-04-16","local",1
"Guanajuato","2020-04-24","local",1
"Guanajuato","2020-04-27","local",1
"Guanajuato","2020-04-29","local",1
"Guanajuato","2020-04-30","local",1
"Guanajuato","2020-05-02","local",1
"Guanajuato","2020-05-04","local",1
"Guanajuato","2020-05-05","local",1
"Guanajuato","2020-05-06","local",1
"Guanajuato","2020-05-14","local",2
"Guanajuato","2020-05-20","local",1
"Guanajuato","2020-05-21","local",1
"Guanajuato","2020-05-25","local",3
"Guanajuato","2020-05-26","local",1
"Guanajuato","2020-05-27","local",1
"Guanajuato","2020-05-30","local",1
"Guanajuato","2020-06-01","local",1
"Guanajuato","2020-06-03","local",4
"Guerrero","2020-04-15","local",1
"Guerrero","2020-04-16","local",1
"Guerrero","2020-04-23","local",4
"Guerrero","2020-04-24","local",1
"Guerrero","2020-04-29","local",6
"Guerrero","2020-05-01","local",1
"Guerrero","2020-05-04","local",1
"Guerrero","2020-05-09","local",3
"Guerrero","2020-05-10","local",5
"Guerrero","2020-05-11","local",1
"Guerrero","2020-05-12","local",1
"Guerrero","2020-05-13","local",2
"Guerrero","2020-05-15","local",4
"Guerrero","2020-05-16","local",2
"Guerrero","2020-05-18","local",2
"Guerrero","2020-05-19","local",3
"Guerrero","2020-05-20","local",3
"Guerrero","2020-05-21","local",6
"Guerrero","2020-05-22","local",5
"Guerrero","2020-05-23","local",9
"Guerrero","2020-05-24","local",3
"Guerrero","2020-05-25","local",5
"Guerrero","2020-05-26","local",3
"Guerrero","2020-05-27","local",8
"Guerrero","2020-05-28","local",14
"Guerrero","2020-05-29","local",4
"Guerrero","2020-05-30","local",18
"Guerrero","2020-05-31","local",4
"Guerrero","2020-06-01","local",4
"Guerrero","2020-06-02","local",7
"Guerrero","2020-06-03","local",14
"Hidalgo","2020-04-19","local",1
"Hidalgo","2020-04-20","local",1
"Hidalgo","2020-04-24","local",1
"Hidalgo","2020-04-27","local",1
"Hidalgo","2020-04-28","local",5
"Hidalgo","2020-04-30","local",1
"Hidalgo","2020-05-02","local",1
"Hidalgo","2020-05-03","local",1
"Hidalgo","2020-05-05","local",1
"Hidalgo","2020-05-06","local",3
"Hidalgo","2020-05-07","local",1
"Hidalgo","2020-05-08","local",1
"Hidalgo","2020-05-09","local",1
"Hidalgo","2020-05-12","local",3
"Hidalgo","2020-05-13","local",1
"Hidalgo","2020-05-14","local",4
"Hidalgo","2020-05-15","local",5
"Hidalgo","2020-05-16","local",1
"Hidalgo","2020-05-17","local",1
"Hidalgo","2020-05-23","local",2
"Hidalgo","2020-05-25","local",1
"Hidalgo","2020-05-26","local",5
"Hidalgo","2020-05-27","local",3
"Hidalgo","2020-05-28","local",2
"Hidalgo","2020-05-30","local",2
"Hidalgo","2020-05-31","local",1
"Hidalgo","2020-06-01","local",3
"Hidalgo","2020-06-02","local",1
"Hidalgo","2020-06-03","local",21
"Jalisco","2020-04-17","local",1
"Jalisco","2020-04-23","local",1
"Jalisco","2020-04-25","local",1
"Jalisco","2020-05-01","local",1
"Jalisco","2020-05-02","local",2
"Jalisco","2020-05-03","local",1
"Jalisco","2020-05-05","local",1
"Jalisco","2020-05-07","local",1
"Jalisco","2020-05-08","local",1
"Jalisco","2020-05-09","local",1
"Jalisco","2020-05-13","local",1
"Jalisco","2020-05-14","local",2
"Jalisco","2020-05-15","local",1
"Jalisco","2020-05-16","local",1
"Jalisco","2020-05-18","local",3
"Jalisco","2020-05-21","local",1
"Jalisco","2020-05-22","local",4
"Jalisco","2020-05-24","local",1
"Jalisco","2020-05-25","local",1
"Jalisco","2020-05-26","local",1
"Jalisco","2020-05-28","local",2
"Jalisco","2020-05-29","local",1
"Jalisco","2020-05-30","local",1
"Jalisco","2020-05-31","local",1
"Jalisco","2020-06-01","local",1
"Jalisco","2020-06-02","local",4
"Jalisco","2020-06-03","local",4
"Mexico","2020-04-14","local",3
"Mexico","2020-04-15","local",3
"Mexico","2020-04-18","local",1
"Mexico","2020-04-19","local",2
"Mexico","2020-04-21","local",2
"Mexico","2020-04-22","local",10
"Mexico","2020-04-23","local",8
"Mexico","2020-04-24","local",5
"Mexico","2020-04-25","local",11
"Mexico","2020-04-26","local",2
"Mexico","2020-04-27","local",1
"Mexico","2020-04-28","local",2
"Mexico","2020-04-29","local",7
"Mexico","2020-04-30","local",12
"Mexico","2020-05-01","local",9
"Mexico","2020-05-02","local",7
"Mexico","2020-05-03","local",5
"Mexico","2020-05-04","local",13
"Mexico","2020-05-05","local",9
"Mexico","2020-05-06","local",4
"Mexico","2020-05-07","local",13
"Mexico","2020-05-08","local",11
"Mexico","2020-05-09","local",6
"Mexico","2020-05-10","local",10
"Mexico","2020-05-11","local",1
"Mexico","2020-05-12","local",16
"Mexico","2020-05-13","local",5
"Mexico","2020-05-14","local",9
"Mexico","2020-05-15","local",9
"Mexico","2020-05-16","local",7
"Mexico","2020-05-17","local",9
"Mexico","2020-05-18","local",8
"Mexico","2020-05-19","local",8
"Mexico","2020-05-20","local",20
"Mexico","2020-05-21","local",12
"Mexico","2020-05-22","local",33
"Mexico","2020-05-23","local",15
"Mexico","2020-05-24","local",14
"Mexico","2020-05-25","local",22
"Mexico","2020-05-26","local",28
"Mexico","2020-05-27","local",28
"Mexico","2020-05-28","local",10
"Mexico","2020-05-29","local",11
"Mexico","2020-05-30","local",13
"Mexico","2020-05-31","local",11
"Mexico","2020-06-01","local",6
"Mexico","2020-06-02","local",9
"Mexico","2020-06-03","local",34
"Michoacan","2020-04-16","local",1
"Michoacan","2020-04-18","local",1
